#software	version	source	license	citation
varscan	2.4.4	bioconda	VarScan 2 is free for non-commercial use by academic, government, and non-profit/not-for-profit institutions.	 Koboldt, D., Zhang, Q., Larson, D., Shen, D., McLellan, M., Lin, L., Miller, C., Mardis, E., Ding, L., & Wilson, R. (2012). VarScan 2: Somatic mutation and copy number alteration discovery in cancer by exome sequencing Genome Research DOI: 10.1101/gr.129684.111
tabix	1.9	bioconda	Apache 2	Heng Li, Tabix: fast retrieval of sequence features from generic TAB-delimited files, Bioinformatics, Volume 27, Issue 5, 1 March 2011, Pages 718–719, https://doi.org/10.1093/bioinformatics/btq671
